Scen_fut,capex_geo_2050_mean,gas_price_2050_median_nonzero,capex_nuc_2050_mean,capex_bess_2050_mean,capex_solar_2050_mean,capex_wind_2050_mean,discount_rate_global,discount_rate_idv_mean,discount_rate_batt_2050,gas_cap_2050,no_gas_2050
Scenario1_91,3475.5183663852,9.9436308412,5407.7904270552,860.9233154002,1698.1357506058,1698.1357506058,0.14,2631.6641236423307,0.1333309313,0.1628141500512916,0
Scenario1_92,3559.5494742054143,13.8081045024,4621.175821907,734.4433899726,941.1417301462,941.1417301462,0.094,2631.653892099004,0.1138012952,0.0,1
Scenario1_93,3616.0504506606426,8.6280731787,6797.7332863057,932.9495554604,595.9596596044,595.9596596044,0.115,2631.6405714685225,0.0883753104,0.5738842256910454,0
Scenario1_94,3503.121500577614,11.474022275,7196.4529094947,822.953370658,1251.6136097225,1251.6136097225,0.123,2631.6228274909813,0.054506185,0.0,1
Scenario1_95,3605.683810809985,7.3024273601,5045.610040403,414.0982854503,1138.8315825393,1138.8315825393,0.11,2631.6175531259696,0.0444386492,0.0,1
Scenario1_96,3546.5235668862283,7.154092331,6202.5807207443,722.1884793949,1591.0732305387,1591.0732305387,0.105,2631.64627014151,0.0992527515,0.1824513195102529,0
Scenario1_97,3562.3971129681,7.8719851598,4869.2632307869,667.8897738127,587.9421658591,587.9421658591,0.076,2631.617506272654,0.0443492171,0.0,1
Scenario1_98,3599.500478684914,10.9523708958,4669.7344678271,535.6479372659,793.7763932353,793.7763932353,0.121,2631.647932759839,0.1024263031,0.0,1
Scenario1_99,3510.0011692549856,11.2759054401,7445.8507785733,476.1362548162,1490.1262215614,1490.1262215614,0.108,2631.6476628702308,0.1019111466,0.0,1
Scenario1_100,3591.2697461944854,14.8685161396,7266.8743287684,860.2639440848,835.7964202847,835.7964202847,0.086,2631.6379649056325,0.0833999882,0.0,1
Scenario1_101,3619.702634730171,8.2302417192,7485.3330763783,772.9220576938,579.0691080464,579.0691080464,0.073,2631.6313981871263,0.0708656502,0.2302812908753154,0
