Strategy,Future.ID,REGION,COMMODITY,TECHNOLOGY,EMISSION,YEAR,TIMESLICE,MODE_OF_OPERATION,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,STORAGEINTRADAY,STORAGEINTRAYEAR,UDC,AnnualVariableOperatingCost,TotalCapacityAnnual,NewCapacity,CapitalInvestment,AnnualFixedOperatingCost,CapitalInvestmentStorage,AnnualTechnologyEmission,TotalTechnologyAnnualActivity,Scen_fut
Scenario1,0,RE1,,BACKSTOP,,2044,,,,,,,,,,,,,0.0,,,,,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,,2044,,,,,,,,,,0.0,,,,,,,,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,,2044,,,,,,,,,,,,,,0.0,,,,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,,2044,,,,,,,,,,,,,,,,,0.0,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,,2045,,,,,,,,,,,,0.0,,,,,,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,,2045,,,,,,,,,,,0.0,,,,,,,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,,2045,,,,,,,,,,,,,0.0,,,,,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,,2045,,,,,,,,,,0.0,,,,,,,,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,,2045,,,,,,,,,,,,,,0.0,,,,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,,2045,,,,,,,,,,,,,,,,,0.0,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,,2046,,,,,,,,,,,,0.0,,,,,,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,,2046,,,,,,,,,,,0.0,,,,,,,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,,2046,,,,,,,,,,,,,0.0,,,,,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,,2046,,,,,,,,,,0.0,,,,,,,,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,,2046,,,,,,,,,,,,,,0.0,,,,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,,2046,,,,,,,,,,,,,,,,,0.0,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,,2047,,,,,,,,,,,,0.0,,,,,,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,,2047,,,,,,,,,,,0.0,,,,,,,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,,2047,,,,,,,,,,,,,0.0,,,,,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,,2047,,,,,,,,,,0.0,,,,,,,,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,,2047,,,,,,,,,,,,,,0.0,,,,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,,2047,,,,,,,,,,,,,,,,,0.0,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,,2048,,,,,,,,,,,,0.0,,,,,,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,,2048,,,,,,,,,,,0.0,,,,,,,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,,2048,,,,,,,,,,,,,0.0,,,,,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,,2048,,,,,,,,,,0.0,,,,,,,,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,,2048,,,,,,,,,,,,,,0.0,,,,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,,2048,,,,,,,,,,,,,,,,,0.0,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,,2049,,,,,,,,,,,,0.0,,,,,,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,,2049,,,,,,,,,,,0.0,,,,,,,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,,2049,,,,,,,,,,,,,0.0,,,,,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,,2049,,,,,,,,,,0.0,,,,,,,,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,,2049,,,,,,,,,,,,,,0.0,,,,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,,2049,,,,,,,,,,,,,,,,,0.0,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,,2050,,,,,,,,,,,,0.0,,,,,,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,,2050,,,,,,,,,,,0.0,,,,,,,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,,2050,,,,,,,,,,,,,0.0,,,,,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,,2050,,,,,,,,,,0.0,,,,,,,,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,,2050,,,,,,,,,,,,,,0.0,,,,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,,2050,,,,,,,,,,,,,,,,,0.0,Scenario1_0
Scenario1,0,RE1,,BESS_TECH,CO2,2019,,,,,,,,,,,,,,,,0.0,,Scenario1_0
Scenario1,0,RE1,,BESS_TECH,CO2,2020,,,,,,,,,,,,,,,,0.0,,Scenario1_0
Scenario1,0,RE1,,BESS_TECH,CO2,2021,,,,,,,,,,,,,,,,0.0,,Scenario1_0
Scenario1,0,RE1,,BESS_TECH,CO2,2022,,,,,,,,,,,,,,,,0.0,,Scenario1_0
Scenario1,0,RE1,,BESS_TECH,CO2,2023,,,,,,,,,,,,,,,,0.0,,Scenario1_0
