Strategy,Future.ID,REGION,COMMODITY,TECHNOLOGY,EMISSION,YEAR,TIMESLICE,MODE_OF_OPERATION,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,STORAGEINTRADAY,STORAGEINTRAYEAR,UDC,AnnualVariableOperatingCost,TotalCapacityAnnual,NewCapacity,CapitalInvestment,AnnualFixedOperatingCost,CapitalInvestmentStorage,AnnualTechnologyEmission,TotalTechnologyAnnualActivity,Scen_fut
Scenario1,0,RE1,,BACKSTOP,,2025,,,,,,,,,,,,0.1261845080883196,,,,,,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,,2025,,,,,,,,,,,0.1261845080883196,,,,,,,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,,2025,,,,,,,,,,,,,12618.324624323872,,,,,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,,2025,,,,,,,,,,0.0,,,,,,,,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,,2025,,,,,,,,,,,,,,126.05832358023127,,,,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,,2025,,,,,,,,,,,,,,,,,0.0,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,,2026,,,,,,,,,,,,0.0,,,,,,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,,2026,,,,,,,,,,,0.0,,,,,,,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,,2026,,,,,,,,,,,,,0.0,,,,,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,,2026,,,,,,,,,,0.0,,,,,,,,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,,2026,,,,,,,,,,,,,,0.0,,,,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,,2026,,,,,,,,,,,,,,,,,0.0,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,,2027,,,,,,,,,,,,0.0,,,,,,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,,2027,,,,,,,,,,,0.0,,,,,,,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,,2027,,,,,,,,,,,,,0.0,,,,,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,,2027,,,,,,,,,,0.0,,,,,,,,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,,2027,,,,,,,,,,,,,,0.0,,,,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,,2027,,,,,,,,,,,,,,,,,0.0,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,,2028,,,,,,,,,,,,0.0,,,,,,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,,2028,,,,,,,,,,,0.0,,,,,,,Scenario1_0
