mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_class_weight,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_random_state,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,mean_train_score,std_train_score
0.0028012990951538086,0.00022518634796142578,0.0015294551849365234,0.0005114078521728516,balanced,gini,4,5,5,42,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 4, 'min_samples_leaf': 5, 'min_samples_split': 5, 'random_state': 42}",0.5,0.5,0.5,0.0,21,0.5,0.5,0.5,0.0
0.002740144729614258,0.0004203319549560547,0.0017974376678466797,0.0007545948028564453,balanced,gini,4,5,10,42,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 4, 'min_samples_leaf': 5, 'min_samples_split': 10, 'random_state': 42}",0.5,0.5,0.5,0.0,21,0.5,0.5,0.5,0.0
0.002682805061340332,0.0001462697982788086,0.001968979835510254,8.14199447631836e-05,balanced,gini,4,10,2,42,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 4, 'min_samples_leaf': 10, 'min_samples_split': 2, 'random_state': 42}",0.5,0.5,0.5,0.0,21,0.5,0.5,0.5,0.0
0.0025979280471801758,1.0728836059570312e-06,0.0018053054809570312,0.0001971721649169922,balanced,gini,4,10,5,42,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 4, 'min_samples_leaf': 10, 'min_samples_split': 5, 'random_state': 42}",0.5,0.5,0.5,0.0,21,0.5,0.5,0.5,0.0
0.0037914514541625977,0.0012511014938354492,0.0018285512924194336,0.0002104043960571289,balanced,gini,4,10,10,42,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 4, 'min_samples_leaf': 10, 'min_samples_split': 10, 'random_state': 42}",0.5,0.5,0.5,0.0,21,0.5,0.5,0.5,0.0
0.002801656723022461,0.00023031234741210938,0.001004934310913086,1.0728836059570312e-05,balanced,gini,5,1,2,42,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'random_state': 42}",0.2,1.0,0.6,0.4,1,1.0,1.0,1.0,0.0
0.002703547477722168,0.00012624263763427734,0.001797795295715332,0.0002053976058959961,balanced,gini,5,1,5,42,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5, 'random_state': 42}",0.2,1.0,0.6,0.4,1,1.0,1.0,1.0,0.0
0.0026221275329589844,0.00041365623474121094,0.0015411376953125,0.0005393028259277344,balanced,gini,5,1,10,42,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 10, 'random_state': 42}",0.5,0.5,0.5,0.0,21,0.5,0.5,0.5,0.0
0.002522706985473633,0.0005235671997070312,0.0015001296997070312,0.0005004405975341797,balanced,gini,5,2,2,42,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 2, 'random_state': 42}",0.1,0.875,0.4875,0.3875,101,0.875,0.9,0.8875,0.012500000000000011
0.002285599708557129,0.00030028820037841797,0.0017899274826049805,0.0007938146591186523,balanced,gini,5,2,5,42,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'random_state': 42}",0.1,0.875,0.4875,0.3875,101,0.875,0.9,0.8875,0.012500000000000011
0.003072381019592285,7.092952728271484e-05,0.0009857416152954102,1.823902130126953e-05,balanced,gini,5,2,10,42,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 10, 'random_state': 42}",0.5,0.5,0.5,0.0,21,0.5,0.5,0.5,0.0
0.0017819404602050781,0.00024890899658203125,0.0010170936584472656,1.9550323486328125e-05,balanced,gini,5,5,2,42,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 5, 'min_samples_split': 2, 'random_state': 42}",0.5,0.5,0.5,0.0,21,0.5,0.5,0.5,0.0
0.0022873878479003906,0.00028228759765625,0.001778721809387207,0.00021922588348388672,balanced,gini,5,5,5,42,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 5, 'min_samples_split': 5, 'random_state': 42}",0.5,0.5,0.5,0.0,21,0.5,0.5,0.5,0.0
0.002283453941345215,0.00025022029876708984,0.0015186071395874023,0.0005196332931518555,balanced,gini,5,5,10,42,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 5, 'min_samples_split': 10, 'random_state': 42}",0.5,0.5,0.5,0.0,21,0.5,0.5,0.5,0.0
0.002301454544067383,0.0002682209014892578,0.001499772071838379,0.0004998445510864258,balanced,gini,5,10,2,42,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 10, 'min_samples_split': 2, 'random_state': 42}",0.5,0.5,0.5,0.0,21,0.5,0.5,0.5,0.0
0.006944775581359863,0.00012004375457763672,0.0048673152923583984,0.0007319450378417969,balanced,gini,5,10,5,42,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 10, 'min_samples_split': 5, 'random_state': 42}",0.5,0.5,0.5,0.0,21,0.5,0.5,0.5,0.0
0.002278923988342285,0.00027930736541748047,0.0011544227600097656,0.00011920928955078125,balanced,gini,5,10,10,42,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 10, 'min_samples_split': 10, 'random_state': 42}",0.5,0.5,0.5,0.0,21,0.5,0.5,0.5,0.0
0.002295970916748047,0.0002639293670654297,0.001801133155822754,0.0001977682113647461,balanced,gini,,1,2,42,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'random_state': 42}",0.2,1.0,0.6,0.4,1,1.0,1.0,1.0,0.0
0.0028040409088134766,0.0002295970916748047,0.0010137557983398438,1.5735626220703125e-05,balanced,gini,,1,5,42,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'random_state': 42}",0.2,1.0,0.6,0.4,1,1.0,1.0,1.0,0.0
0.0017840862274169922,0.0002143383026123047,0.0017821788787841797,0.0002498626708984375,balanced,gini,,1,10,42,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'random_state': 42}",0.5,0.5,0.5,0.0,21,0.5,0.5,0.5,0.0
0.002286076545715332,0.0007163286209106445,0.0018535852432250977,0.00017845630645751953,balanced,gini,,2,2,42,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'random_state': 42}",0.1,0.875,0.4875,0.3875,101,0.875,0.9,0.8875,0.012500000000000011
0.0021622180938720703,0.00013208389282226562,0.0019707679748535156,3.0279159545898438e-05,balanced,gini,,2,5,42,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'random_state': 42}",0.1,0.875,0.4875,0.3875,101,0.875,0.9,0.8875,0.012500000000000011
