Scen_fut,demand_2050_sum,capex_geo_2050_mean,gas_price_2050_median_nonzero,capex_nuc_2050_mean,capex_impngs_2050_mean,capex_bess_2050_mean,capex_solar_2050_mean,capex_wind_2050_mean,discount_rate_global,discount_rate_batt_2050,discount_rate_wnd_2050,discount_rate_sol_2050,maxcap_geo006_2050_mean,gas_cap_2050,no_gas_2050
Scenario1_14,261.7354947996,3483.1613729089427,9.5688045491,6660.9561940512,21.1213071621,407.5726348802,881.5161988797499,1863.1795198983637,0.052,0.0717863616,0.0464499987,0.07562636265,2.466541693,0.0,1
Scenario1_15,234.4680415105,3483.953177551314,10.5673003184,4464.3377060924,20.3609287405,344.9369333148,1141.3662868890501,1918.6305778729272,0.093,0.0364787752,0.0236039134,0.0585956445,4.427704394,0.0,1
Scenario1_16,248.5282231292,3505.733274377571,13.2322863509,6305.0684518373,18.2963657172,390.8958458634,778.4609581888,1599.2833530154,0.06,0.0921964312,0.05965651429999999,0.08547121975,3.6607208913,0.0,1
Scenario1_17,138.6025502451,3495.613601924885,8.8470851896,5865.7525842536,24.3308038954,649.8664301633,1041.55226915015,1530.5450423162454,0.084,0.0602007927,0.0389534541,0.07003802945,4.9706962516,0.0,1
Scenario1_18,273.1915119863,3604.1609211087284,13.5191830461,4693.3345394561,22.695440393,378.2650317438,950.3653984652999,1676.689216304291,0.122,0.1119205663,0.07241918989999999,0.09498521430000001,2.2696801098,0.0,1
Scenario1_19,203.47923450640002,3536.7279264589424,13.8955867131,5455.7367366228,20.7644360307,422.1990004918,1051.6968786876,1436.4709207150272,0.137,0.1172055148,0.07583886250000002,0.09753442475,4.8406474568,0.0,1
Scenario1_20,184.1588645748,3478.3861192777285,6.4361625318,4938.1583939264,25.6966923564,429.1164145213,1069.44629033725,1116.6896282136456,0.105,0.124386317,0.080485264,0.10099810584999999,5.1899724144,0.0,1
Scenario1_21,227.86838949789998,3597.8419086162426,12.7021426734,4066.8370344097,23.7483893505,529.1346023287,942.6093061256499,1198.1212420012273,0.114,0.0468637243,0.030323586299999997,0.06360485525000001,2.7508172636,0.0,1
Scenario1_22,209.8716605168,3581.0279292578,10.2533058982,5043.4820017964,22.3227405317,561.0637291422,1010.10066519995,1766.611071932464,0.078,0.0891216591,0.05766695590000001,0.0839880944,2.6578002763,0.0,1
Scenario1_23,126.82234176429999,3587.9048323890856,14.9275142087,6230.4919310198,17.4991913362,499.9349954984,927.72893239795,1574.7926897678453,0.09,0.0684271321,0.04427637959999999,0.07400602845000001,4.144915082,0.0,1
Scenario1_24,229.0167034365,3455.6244577663424,7.2326147255,4820.3911136699,19.1781782988,555.0750127621,903.2298749864999,1445.3666601965726,0.068,0.0571082401,0.0369523907,0.0685463276,4.5694834576,0.0,1
Scenario1_25,147.917053509,3562.5091896151,15.4026058896,4246.4468129064,23.8854233652,625.9309027703,881.4989887449999,1379.7056557037363,0.126,0.0389277616,0.0251885516,0.0597769203,4.2558158444,0.0,1
Scenario1_26,161.71630728350002,3547.8959310850996,14.7550700933,3983.9355646286,19.6721830213,365.979808931,1053.0198634531498,1500.5384928043181,0.13,0.0806378497,0.052177432100000004,0.07989590395,2.9865923887,0.0,1
Scenario1_27,189.7832539771,3457.248908605828,11.4252270834,4180.1287397998,24.5458024399,631.7771061272,1116.50969325815,1483.2289515195635,0.119,0.0447624844,0.0289639605,0.06259131600000001,4.3338908977,0.0,1
Scenario1_28,115.0477248844,3573.3425093943,10.9797005104,4421.9692909579,19.0332489342,654.2185725971,967.5798528711,1644.989976298636,0.058,0.1215071284,0.07862225960000001,0.09960932075000001,3.4565856743,0.5400614131894184,0
Scenario1_29,131.5223633955,3458.9918664960283,15.5885425873,6446.1014904449,19.8610051788,310.3294902747,1023.1929773089,1477.595288191591,0.124,0.0727223062,0.04705560990000001,0.0760778183,2.3658349496,0.0,1
Scenario1_30,137.0954135579,3524.1196190212286,6.6371229889,5360.4402640242,21.6898184278,518.3042778686,1099.3743687690499,1853.2370163203545,0.129,0.0430694917,0.027868494600000005,0.061774696000000004,3.9463932299,0.0,1
Scenario1_31,197.3530094426,3557.2103066057857,14.0235295372,5113.1975283173,25.4461045658,487.2653976067,916.6265027064,1409.2920937026543,0.118,0.0402809825,0.0260641652,0.06042965040000001,5.6812272699,0.0,1
Scenario1_32,171.4595560381,3577.2970729968715,6.992516605,6339.7525183506,25.562630834,509.6990741108,871.4731494913499,1341.697248129,0.053,0.0859515546,0.0556157118,0.08245898515,3.2211921906,0.0,1
Scenario1_33,279.3814463198,3600.4352718287287,6.7465064735,6394.1862013291,22.220302839,488.683022573,787.2260534965999,1739.4666885099819,0.08,0.0931730135,0.06028842050000001,0.08594227709999999,3.3647547285,0.0,1
Scenario1_34,169.3330599516,3513.0480325275,13.0380617901,3913.3351534657,24.1036610801,568.3524903855,1131.22807353085,1663.2903844471634,0.054,0.0632225614,0.04090871620000001,0.07149558845000001,4.9256823411,0.0,1
Scenario1_35,267.6734221116,3500.5382602514715,12.3901021772,4051.5441321946,20.5348157735,335.4691798349,854.8546481671499,1797.4830856822546,0.066,0.1148197949,0.07429516140000002,0.09638366575,3.0618440129,0.0,1
Scenario1_36,156.1920694047,3541.4111746890853,10.3698908276,6868.8717743597,18.8098339535,548.0338376241,800.8036426362,1772.3142321171727,0.099,0.0693739861,0.04488904979999999,0.07446274625,5.7916284285,0.0,1
Scenario1_37,193.5671438721,3490.305640836857,9.2523161555,5237.4705711472,26.2231975762,400.8892529559,980.86121156375,1937.545558202936,0.096,0.074249613,0.0480438672,0.0768145192,5.5518396654,0.0,1
Scenario1_38,239.1181749204,3551.417947051929,8.1277825646,4756.464480973,17.0662671316,473.1000557597,939.1713830486999,1686.9736331411273,0.112,0.0493063206,0.03190408979999999,0.06478304875,5.8706874315,0.0,1
Scenario1_39,176.9999159464,3521.9149064576427,12.1316972603,6782.3904274447,17.7214757601,417.9376264664,1147.8520414917498,1135.5159954675,0.109,0.1059625404,0.0685639967,0.092111343,2.5755864386,0.0,1
Scenario1_40,106.6194509719,3531.1260521951854,14.1738620142,5761.1123239592,17.4241166478,583.1679899429,1094.3189660296,1084.0905138859728,0.063,0.0515169843,0.03333451929999999,0.0658493689,5.4990848226,0.0,1
Scenario1_41,154.1111164512,3470.749582346114,9.844770249,6050.8777488641,16.9913316484,595.5015027824,845.26513451965,944.2387937323274,0.105,0.0817098792,0.05287109830000001,0.08041300055,3.139064278,0.0,1
Scenario1_42,220.17717885529999,3488.484377734328,11.7147606456,4303.2773850537,21.5524352955,539.7217591836,906.5922195269,992.5749506065454,0.07,0.1193405806,0.07722037569999998,0.09856428005000001,4.5427426441,0.0,1
Scenario1_43,215.6274412727,3527.9356275097,12.0001774902,5133.0297385795,24.6854388005,281.6627505183,819.26263703835,1889.7677061503362,0.132,0.1126881723,0.07291587619999998,0.09535547135,5.7371933596,0.0,1
Scenario1_44,178.53976436989998,3593.113718507971,8.4553226875,5293.4967460687,24.8044563994,660.789504416,1017.42169201115,1228.9891939087183,0.075,0.1208200649,0.078177689,0.09927791365,4.6997453068,0.0,1
Scenario1_45,245.319220403,3517.2773947299856,12.6180931576,4893.984564947,18.0461030422,329.4788729127,832.49750657855,1016.1777777196181,0.102,0.0652072094,0.0421929002,0.07245288925,3.2802659051,0.0,1
