Scen_fut,gas_price_2050_median_nonzero,capex_bess_2050_mean,capex_solar_2050_mean,capex_wind_2050_mean,discount_rate_batt_2050,maxcap_geo006_2050_mean,discount_rate_solar_2050,discount_rate_wind_2050,discount_rate_impngs_2050,discount_rate_geo_2050,gas_cap_2050,no_gas_2050
Scenario1_13,5.8032030772,904.8553763478,236.4331199795,2141.8298424834184,0.0453816955,7.5575866584,0.037683015,0.0364674338,0.0637086536,0.1843395584,0.0,0
Scenario1_14,18.266356498,419.0035678392,987.6651075819,1316.278195947173,0.1625478739,6.5084736945,0.1349727882,0.13061882719999998,0.0175239138,0.0935745803,0.0,0
Scenario1_15,10.6486192195,1043.322520717,967.0133107605,2114.2712218272454,0.093653557,6.0339760039,0.0777659,0.07525732259999998,0.1070457467,0.1909685683,3.088916507810021,1
Scenario1_16,22.4288428025,933.8136305688,1081.7857218625,471.90905232209093,0.0318251141,8.0616611904,0.0264262108,0.025573752399999997,0.1632079068,0.1750357982,0.0,0
Scenario1_17,11.9183889381,1020.3683347495,758.8812227078,1689.197684985391,0.1033117529,9.4699640616,0.0857856519,0.0830183728,0.0263900275,0.0420416159,8.85443367181306,1
Scenario1_18,12.9689334743,850.9093307959,1122.8135984653,2044.8901573975365,0.0573625853,5.4177214709,0.0476314325,0.04609493469999999,0.2079860679,0.1080844982,0.0,0
Scenario1_19,9.2371211952,1038.1147311346,337.1703625341,1322.9051202681183,0.157268221,7.0884676832,0.1305887906,0.126376249,0.216743313,0.2584370471,0.0,0
Scenario1_20,21.32496737,1029.9527442643,1124.4032255681,1627.2363440472182,0.0933665195,6.0730469109,0.0775275564,0.07502666749999999,0.1219842664,0.0245696761,0.0,0
Scenario1_21,3.8432754658,812.6145287015,159.0322928959,684.7565855228727,0.1021773549,4.6900165369,0.0848436965,0.08210680309999999,0.1077556814,0.1758358788,0.0,0
Scenario1_22,4.5787962222,895.4763671279,951.2384594149,1656.6775527387545,0.1534734974,7.340057807,0.1274378148,0.12332691750000001,0.1513368479,0.2401739243,7.179304459073433,1
Scenario1_23,14.7205504351,759.9197162759,962.254025,1758.0887572274366,0.1079121586,7.2165127671,0.0896056317,0.0867151274,0.0289097959,0.0230688863,1.5427743249950772,1
Scenario1_24,6.4819588832,291.4598181176,824.161095728,487.5288753810817,0.171872995,4.7894489784,0.142715969,0.1381122281,0.1818062838,0.1347899262,0.0,0
Scenario1_25,18.9570439993,466.9356569975,155.6507563834,2148.4272611128818,0.1304638791,6.6637077119,0.1083316139,0.10483704570000002,0.1198334861,0.2322675553,0.0,0
Scenario1_26,7.1767598893,176.0087787591,771.7289100889,1116.1415436899545,0.1743510597,9.963626642,0.1447736478,0.1401035301,0.130674779,0.1455224007,0.0,0
Scenario1_27,8.83946271,1034.7429897406,1140.3200835871,874.8889008142182,0.1137278687,9.4238506696,0.0944347481,0.09138846599999999,0.0757342743,0.0752355556,4.494768247529017,1
Scenario1_28,17.0318576099,512.1176816233,501.1226022993,1944.0626516904088,0.0629982752,4.7222553216,0.0523110678,0.050623614,0.1395326799,0.2006817696,0.0,0
Scenario1_29,3.960613739,127.8582030975,1026.383915263,1511.5147157335361,0.0205883039,4.8310079788,0.0170956452,0.0165441727,0.1671445946,0.2795927142,0.0,0
Scenario1_30,6.4346593299,715.0707753517,253.9098217094,993.1792914721183,0.0233652147,6.3681741353,0.0194014729,0.018775618999999997,0.198377991,0.1440646348,0.0,0
Scenario1_31,16.1191257088,124.5258698936,818.7246670643,1424.7620622470274,0.0965752318,7.6750803954,0.0801919335,0.07760509699999998,0.2121574187,0.1937549963,0.0,0
Scenario1_32,17.9108241902,937.6179567959,159.4732878177,1654.4530227928183,0.1646276245,5.5787916932,0.1366997239,0.13229005539999997,0.1283058111,0.0888751501,13.594624490542,1
Scenario1_33,15.9616572361,368.5877194511,932.0408163208,780.1868935883363,0.0283785291,9.6125446904,0.0235643143,0.0228041751,0.1572163099,0.0673686072,0.0,0
Scenario1_34,12.4703791837,751.1717870676,114.0088342355,846.2833532683727,0.0950366693,8.4625800933,0.0789143772,0.07636875210000002,0.1098231338,0.1140155953,0.0,0
Scenario1_35,21.227445535,365.3564185744,421.0871873127,1099.0923147074088,0.1642094591,6.0117959582,0.1363524973,0.13195402959999997,0.1521466204,0.245168289,0.0,0
Scenario1_36,9.3922718927,960.5239076967,434.072311808,1469.9771394725549,0.0737516596,5.3790143451,0.0612402173,0.0592647264,0.2081991591,0.0553706075,0.0,0
Scenario1_37,18.4910145116,670.8773786035,849.6553359564,1248.0260805391636,0.0206939817,8.1138681232,0.0171833955,0.016629092399999996,0.1089447045,0.2227680987,0.0,0
Scenario1_38,19.9930774918,485.1017339606,1269.075309649,1698.3988542803818,0.18366904,6.4738204545,0.1525108993,0.1475911928,0.1887099105,0.0988081205,0.0,0
Scenario1_39,14.6708796971,1004.2019028472,807.5616859306,2108.039611292582,0.0885687368,9.2058509479,0.0735436832,0.0711713063,0.203342695,0.1495676468,0.0,0
Scenario1_40,11.8729172523,429.1703980123,843.0928945185,1411.8370702436182,0.0373091451,6.7554733008,0.0309799152,0.029980563100000003,0.1951808795,0.0464718276,0.0,0
Scenario1_41,22.033413813,254.4270920805,942.8088024619,1590.5108099749,0.0336897944,9.7201762702,0.0279745614,0.027072156199999996,0.1430608557,0.0718226446,0.0,0
Scenario1_42,20.4576576305,452.7512739767,478.1301060103,1369.6409811204362,0.0662232218,4.5160980554,0.0549889252,0.0532150889,0.1357187863,0.0253193799,0.0,0
Scenario1_43,21.2661228139,378.2185569894,1154.893970903,1748.3565914875908,0.0555766915,5.907534599,0.0461485028,0.044659841400000004,0.0513707811,0.1686318934,0.0,0
Scenario1_44,14.0398414559,1031.8717291393,591.8859051949,1452.2387138585725,0.1857389883,9.0105623575,0.1542296957,0.14925454419999998,0.0370199308,0.1464275444,8.303538441656334,1
Scenario1_45,20.1495562865,596.0790265612,582.4596834174,473.84540990888183,0.160729372,9.639124122,0.1334627821,0.12915753099999996,0.0793997219,0.2558792146,0.0,0
Scenario1_46,4.6989557656,404.3718876957,707.4470580733,644.4106173137819,0.1542168597,9.564393111,0.128055071,0.12392426230000003,0.2109173913,0.2316712954,0.0,0
Scenario1_47,15.6989326341,318.7159398176,381.624646906,856.8197693067818,0.0223528747,6.0545851571,0.0185608692,0.0179621314,0.1427627175,0.1285767141,0.0,0
Scenario1_48,15.1359927814,886.9236209173,292.5160205022,721.5168504264274,0.029300696,6.3858419842,0.0243300422,0.0235452021,0.2206028688,0.105564797,0.0,0
Scenario1_49,8.8509610307,658.4905388187,300.9665366098,1178.9705956174546,0.1808352601,5.7963040073,0.1501578499,0.14531404829999997,0.1362123292,0.0183678583,0.0,0
Scenario1_50,8.1887165439,1046.5788404768,397.6459918018,935.1444028760548,0.0717733687,5.8515920122,0.0595975294,0.05767502840000001,0.1009019011,0.1498881529,0.0,0
Scenario1_51,19.1731207718,203.7619112535,858.0666968093,1753.9605955682543,0.1851537946,7.1080128566,0.1537437759,0.14878429919999997,0.0249312316,0.1451770112,0.0,0
