Strategy,Future.ID,REGION,COMMODITY,TECHNOLOGY,EMISSION,YEAR,TIMESLICE,MODE_OF_OPERATION,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,STORAGEINTRADAY,STORAGEINTRAYEAR,UDC,CapitalInvestment,TotalTechnologyAnnualActivity,TotalCapacityAnnual,CapitalInvestmentStorage,AnnualVariableOperatingCost,AnnualTechnologyEmission,AnnualFixedOperatingCost,NewCapacity,Scen_fut
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2043,,,,,,,,,,,35.509139,,,,,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2044,,,,,,,,,,,,,,,,,999999.0,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2044,,,,,,,,,,,,999999.0,,,,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2044,,,,,,,,,,,,,,1475.961,,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2044,,,,,,,,,,,37.845154,,,,,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2045,,,,,,,,,,,,,,,,,999999.0,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2045,,,,,,,,,,,,999999.0,,,,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2045,,,,,,,,,,,,,,1626.1451,,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2045,,,,,,,,,,,41.696028,,,,,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2046,,,,,,,,,,,,,,,,,999999.0,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2046,,,,,,,,,,,,999999.0,,,,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2046,,,,,,,,,,,,,,1584.7573,,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2046,,,,,,,,,,,40.634804,,,,,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2047,,,,,,,,,,,,,,,,,999999.0,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2047,,,,,,,,,,,,999999.0,,,,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2047,,,,,,,,,,,,,,1634.2417,,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2047,,,,,,,,,,,41.903632,,,,,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2048,,,,,,,,,,,,,,,,,999999.0,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2048,,,,,,,,,,,,999999.0,,,,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2048,,,,,,,,,,,,,,1067.1888,,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2048,,,,,,,,,,,27.363815,,,,,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2049,,,,,,,,,,,,,,,,,999999.0,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2049,,,,,,,,,,,,999999.0,,,,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2049,,,,,,,,,,,,,,929.71036,,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2049,,,,,,,,,,,23.838727,,,,,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2050,,,,,,,,,,,,,,,,,999999.0,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2050,,,,,,,,,,,,999999.0,,,,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2050,,,,,,,,,,,,,,500.26145,,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2050,,,,,,,,,,,12.827217,,,,,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2051,,,,,,,,,,,,,,,,,999999.0,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2051,,,,,,,,,,,,999999.0,,,,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2051,,,,,,,,,,,,,,1798.0658,,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2051,,,,,,,,,,,46.10425,,,,,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2052,,,,,,,,,,,,,,,,,999999.0,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2052,,,,,,,,,,,,999999.0,,,,,,Scenario1_0
