Strategy,Future.ID,REGION,COMMODITY,TECHNOLOGY,EMISSION,YEAR,TIMESLICE,MODE_OF_OPERATION,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,STORAGEINTRADAY,STORAGEINTRAYEAR,UDC,AnnualTechnologyEmission,NewCapacity,TotalTechnologyAnnualActivity,TotalCapacityAnnual,AnnualVariableOperatingCost,CapitalInvestmentStorage,CapitalInvestment,AnnualFixedOperatingCost
Scenario1,0,RE1,,PWRCOA001,,2019,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,PWRCOA001,,2020,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,PWRCOA001,,2021,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,PWRCOA001,,2022,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,PWRCOA001,,2023,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,PWRCOA001,,2024,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,PWRCOA001,,2025,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,PWRCOA001,,2026,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,PWRCOA001,,2027,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,PWRCOA001,,2028,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,PWRCOA001,,2029,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,PWRCOA001,,2030,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,PWRCOA001,,2031,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,PWRCOA001,,2032,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,PWRCOA001,,2033,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,PWRCOA001,,2034,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,PWRCOA001,,2035,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,PWRCOA001,,2036,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,PWRCOA001,,2037,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,PWRCOA001,,2038,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,PWRCOA001,,2039,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,PWRCOA001,,2040,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,PWRCOA001,,2041,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,PWRCOA001,,2042,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,PWRCOA001,,2043,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,PWRCOA001,,2044,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,PWRCOA001,,2045,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,PWRCOA001,,2046,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,PWRCOA001,,2047,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,PWRCOA001,,2048,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,PWRCOA001,,2049,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,PWRCOA001,,2050,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,PWRDIST,,2019,,,,,,,,,,,0.30379101218060267,,,,,,
Scenario1,0,RE1,,PWRDIST,,2020,,,,,,,,,,,0.032903045460965785,,,,,,
Scenario1,0,RE1,,PWRDIST,,2021,,,,,,,,,,,0.08475684741529999,,,,,,
Scenario1,0,RE1,,PWRDIST,,2022,,,,,,,,,,,0.06454169624967343,,,,,,
Scenario1,0,RE1,,PWRDIST,,2023,,,,,,,,,,,0.06048181614144443,,,,,,
Scenario1,0,RE1,,PWRDIST,,2024,,,,,,,,,,,0.07043868024932953,,,,,,
Scenario1,0,RE1,,PWRDIST,,2025,,,,,,,,,,,0.076778902703865,,,,,,
Scenario1,0,RE1,,PWRDIST,,2026,,,,,,,,,,,0.08043920055119091,,,,,,
Scenario1,0,RE1,,PWRDIST,,2027,,,,,,,,,,,0.1330017013792042,,,,,,
Scenario1,0,RE1,,PWRDIST,,2028,,,,,,,,,,,0.14078204463190502,,,,,,
Scenario1,0,RE1,,PWRDIST,,2029,,,,,,,,,,,0.16101593325260488,,,,,,
Scenario1,0,RE1,,PWRDIST,,2030,,,,,,,,,,,0.17279431089127417,,,,,,
Scenario1,0,RE1,,PWRDIST,,2031,,,,,,,,,,,0.16138458077949647,,,,,,
Scenario1,0,RE1,,PWRDIST,,2032,,,,,,,,,,,0.17913482747627008,,,,,,
Scenario1,0,RE1,,PWRDIST,,2033,,,,,,,,,,,0.18160480739745122,,,,,,
Scenario1,0,RE1,,PWRDIST,,2034,,,,,,,,,,,0.19324208072651983,,,,,,
Scenario1,0,RE1,,PWRDIST,,2035,,,,,,,,,,,0.20333915560452764,,,,,,
Scenario1,0,RE1,,PWRDIST,,2036,,,,,,,,,,,0.20620657299478262,,,,,,
Scenario1,0,RE1,,PWRDIST,,2037,,,,,,,,,,,0.23209878267263973,,,,,,
Scenario1,0,RE1,,PWRDIST,,2038,,,,,,,,,,,0.2418512876840353,,,,,,
Scenario1,0,RE1,,PWRDIST,,2039,,,,,,,,,,,0.25574441720204666,,,,,,
Scenario1,0,RE1,,PWRDIST,,2040,,,,,,,,,,,0.27129844634684597,,,,,,
Scenario1,0,RE1,,PWRDIST,,2041,,,,,,,,,,,0.2859260820200209,,,,,,
Scenario1,0,RE1,,PWRDIST,,2042,,,,,,,,,,,0.29607988682446473,,,,,,
Scenario1,0,RE1,,PWRDIST,,2043,,,,,,,,,,,0.315858125133722,,,,,,
Scenario1,0,RE1,,PWRDIST,,2044,,,,,,,,,,,0.33278576312627894,,,,,,
Scenario1,0,RE1,,PWRDIST,,2045,,,,,,,,,,,0.35201863643668707,,,,,,
Scenario1,0,RE1,,PWRDIST,,2046,,,,,,,,,,,0.37164282644018964,,,,,,
Scenario1,0,RE1,,PWRDIST,,2047,,,,,,,,,,,0.39157735165975316,,,,,,
Scenario1,0,RE1,,PWRDIST,,2048,,,,,,,,,,,0.41420112642980067,,,,,,
Scenario1,0,RE1,,PWRDIST,,2049,,,,,,,,,,,0.43729787821783983,,,,,,
Scenario1,0,RE1,,PWRDIST,,2050,,,,,,,,,,,0.460750697632609,,,,,,
Scenario1,0,RE1,,PWRGEO001,,2019,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,PWRGEO001,,2020,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,PWRGEO001,,2021,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,PWRGEO001,,2022,,,,,,,,,,,0.0832999999999999,,,,,,
Scenario1,0,RE1,,PWRGEO001,,2023,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,PWRGEO001,,2024,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,PWRGEO001,,2025,,,,,,,,,,,0.06200000000000011,,,,,,
Scenario1,0,RE1,,PWRGEO001,,2026,,,,,,,,,,,0.01999999999999999,,,,,,
Scenario1,0,RE1,,PWRGEO001,,2027,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,PWRGEO001,,2028,,,,,,,,,,,0.024999999999999994,,,,,,
