Scen_fut,demand_2050_sum,capex_geo_2050_mean,capex_bess_2050_mean,discount_rate_batt_2050,gas_cap_2050,no_gas_2050
Scenario1_44,305.1503698708,3515.6223609310573,446.9247612407,0.0619797915,0.0,1
Scenario1_45,236.3290886542,3501.468881462228,1170.1830910827,0.0949838523,3.577584940129872,0
Scenario1_46,315.0151649662,3495.4246933514,1073.0856210876,0.0625309863,3.4991151977454047,0
Scenario1_47,185.4564303705,3629.1715305023426,786.088641176,0.0652268478,0.0,1
Scenario1_48,400.67542585470005,3624.5252664043715,912.9544010843,0.0770321716,0.2925834539122892,0
Scenario1_49,360.1060030404,3547.6903421602,977.4636791643,0.1049133876,0.290043935661111,0
Scenario1_50,194.540049001,3526.043823974714,487.6881793401,0.0448794812,0.0,1
Scenario1_51,265.8504515707,3473.639511080771,950.8893928935,0.0978028729,0.1611248354720045,0
Scenario1_52,301.4807219625,3510.369689674471,646.8454118083,0.0911407774,0.0,1
Scenario1_53,299.04073498720004,3553.1145618801997,408.5420172451,0.0736778567,0.0,1
Scenario1_54,197.9899731742,3624.0289006839425,633.6418960703,0.0686038439,0.0,1
Scenario1_55,311.7785114157,3483.9389166784713,789.2781356565,0.0499817289,0.0,1
Scenario1_56,189.4936389125,3478.4500318158425,497.1106786855,0.046878596,0.0,1
Scenario1_57,370.2732198062,3643.6446363432997,684.8282616075,0.0968265722,0.0,1
Scenario1_58,319.6123115841,3637.975238824671,1117.7393235373,0.1035682943,7.061950143002429,0
Scenario1_59,376.0903643908,3666.9399300532855,512.9618471907,0.0954257559,0.0,1
Scenario1_60,269.4300176598,3500.2970534963997,595.9063747881,0.0711850652,0.0,1
Scenario1_61,350.2105250225,3579.0844179088713,708.2017959275,0.0540107245,0.0,1
Scenario1_62,210.10965656960002,3593.908467716571,428.4949065526,0.0650333836,0.0,1
Scenario1_63,330.643148001,3506.6472182844286,777.6830163757,0.1317320209,0.5392113243949599,0
Scenario1_64,223.33066829199998,3600.858400551814,1059.6004541389,0.117928399,0.852086457499639,0
Scenario1_65,240.8631272774,3564.0315691990572,1083.1915241404,0.0439909424,0.2600369308029138,0
Scenario1_66,324.46143325670005,3637.092189629486,507.3306220246,0.0565949219,0.0,1
Scenario1_67,335.4135486524,3640.0704639574715,414.2038240717,0.1045661244,0.0,1
Scenario1_68,387.7969291486,3681.0752824500146,805.0458383711,0.1039952677,0.2547228816513094,0
Scenario1_69,256.97214703469996,3609.7455250566713,1124.2786590455,0.0657120758,0.4516372841373406,0
Scenario1_70,343.7757379497,3550.4188897589142,1154.3028174097,0.0760181121,6.317581528808236,0
Scenario1_71,325.94714452520003,3477.818567630557,425.3801721921,0.127660668,0.0,1
Scenario1_72,306.8838676828,3576.7879268470856,415.9372751653,0.0579723954,0.0,1
Scenario1_73,320.5257304667,3502.374685208743,537.7411268812,0.043518267,0.0,1
Scenario1_74,356.4880890612,3631.347133468543,652.9772648157,0.1007659174,0.0,1
Scenario1_75,345.9966935242,3504.248906488757,651.9990741303,0.0701910073,0.0,1
Scenario1_76,310.68631619440004,3558.7856423227568,737.5618189939,0.0582034558,0.0,1
Scenario1_77,325.379809056,3658.3504269818145,498.3049227749,0.0704287126,0.0,1
Scenario1_78,267.5464842792,3627.0610372929855,688.2462155751,0.0792429807,0.0,1
Scenario1_79,220.10158025529998,3487.5564466539427,1104.7087874934,0.092417687,0.4929629868381687,0
Scenario1_80,256.3739553443,3632.8640017171997,750.9431779609,0.0614532744,0.0,1
Scenario1_81,277.675031516,3469.951155423157,499.9401699209,0.127872969,0.0,1
Scenario1_82,347.0702140005,3582.9115403355713,1068.9460738128,0.0963891891,1.6527320476457723,0
Scenario1_83,193.3658043417,3500.722716235657,812.5994884296,0.1002197553,0.0505176194298093,0
Scenario1_84,234.3293301018,3552.7020038357573,727.3345618961,0.0890456942,0.1023754735367372,0
Scenario1_85,242.91800355270001,3496.9677815032287,438.1454707471,0.0633506635,0.0,1
Scenario1_86,262.89590163639997,3513.4480769879424,687.2915152046,0.1227356868,0.0,1
Scenario1_87,280.4756566401,3540.705380212814,465.7933068278,0.0750806653,0.0,1
Scenario1_88,377.5153707427,3545.152979003114,1039.6359565859,0.0559338763,2.779291961029776,0
Scenario1_89,202.42186944480002,3641.3984975880144,753.6461031484,0.0430864158,0.0,1
Scenario1_90,273.136228829,3587.306533254571,772.0165937709,0.0902099101,0.3762879073959332,0
Scenario1_91,286.0316047089,3475.5183663852,860.9233154002,0.1333309313,0.1628141500512916,0
Scenario1_92,381.5318513603,3559.5494742054143,734.4433899726,0.1138012952,0.0,1
Scenario1_93,365.3252670672,3616.0504506606426,932.9495554604,0.0883753104,0.5738842256910454,0
Scenario1_94,300.0894372778,3503.121500577614,822.953370658,0.054506185,0.0,1
